Player Name,Position,Receiver,Route,Coverage,Formation,Caught?,Yards,YAC,DC Position,DC Player Name,DC Coverage
M.Bell,SS,Y,0 Dig (0-4),Bump and Run,"43 Under, Nickel Personnel, Press-1",0,0,0,,,
J.Wilcox,LCB,T,2 Slant (5-8),Bump and Run,"43 Under, Regular Personnel, Press-1",1,10,0,,,
,,RB,F Flat (0-4),,"43 Under, Nickel Personnel, Press-2",1,6,0,,,
M.Bell,SS,S,W Wheel (9-18),Deep Zone,"43 Under, Dime Personnel, Tampa-2",1,15,5,,,
K.Lofton,NB,R,W Wheel (9-18),Man-to-Man,"43 Under, Nickel Personnel, Cover-1, Buzz",1,12,0,,,
C.Kaiafas,MLB,Y,0 Dig (0-4),Short Zone,"43 Under, Regular Personnel, Press-2",1,11,9,,,
C.Warren,RCB,Z(FL),0 Dig (0-4),Bump and Run,"43 Under, Nickel Personnel, Press-1",0,0,0,,,
R.Fleming,MLB,R,3 Comeback (9-12),Short Zone,"43 Under, Nickel Personnel, Cover-4",0,0,0,,,
R.Fleming,MLB,S,W Wheel (9-18),Short Zone,"43 Under, Dime Personnel, Cover-4",1,9,0,,,
C.Kaiafas,MLB,Y,0 Dig (0-4),Short Zone,"43 Under, Regular Personnel, Press-2",1,24,19,,,
,,Y,0 Dig (0-4),,"43 Under, Nickel Personnel, Press-2",1,5,0,,,
K.Lofton,NB,R,5 Deep Out (13-18),Bump and Run,"43 Under, Nickel Personnel, Press-1",1,16,2,,,
K.Lofton,NB,R,5 Deep Out (13-18),Bump and Run,"43 Under, Nickel Personnel, Press-1",0,0,0,,,
J.Alexander,WLB,T,1 Out (5-8),Short Zone,"43 Under, Nickel Personnel, Press-2",0,0,0,,,
R.Fleming,MLB,R,3 Comeback (9-12),Short Zone,"43 Under, Nickel Personnel, Cover-4",0,0,0,,,
M.Bell,SS,Y,S Screen (S),Bump and Run,"43 Under, Nickel Personnel, Press-1",1,-4,0,,,
C.Kaiafas,MLB,RB,S Screen (S),Short Zone,"43 Under, Regular Personnel, Press-2",1,-1,1,,,
M.Bell,SS,Y,2 Slant (5-8),Bump and Run,"43 Under, Nickel Personnel, Press-1",1,12,1,,,
C.Kaiafas,MLB,RB,1 Out (5-8),Short Zone,"43 Under, Nickel Personnel, Press-1",0,0,0,,,
C.Kaiafas,MLB,Y,0 Dig (0-4),Short Zone,"43 Under, Regular Personnel, Press-2",1,25,18,,,
J.Wilcox,LCB,T,2 Slant (5-8),Bump and Run,"43 Under, Regular Personnel, Press-1",1,5,0,,,
R.Fleming,MLB,RB,1 Out (5-8),Short Zone,"43 Under, Nickel Personnel, Cover-4",1,9,1,,,
C.Kaiafas,MLB,Y,0 Dig (0-4),Spy on QB,"43 Under, Nickel Personnel, Press-2",1,5,0,,,
K.Lofton,LCB,RB,F Flat (0-4),Short Zone,"43 Under, Nickel Personnel, Cover-4",1,6,0,,,
R.Fleming,MLB,R,0 Dig (0-4),Short Zone,"43 Under, Nickel Personnel, Cover-4",1,1,0,,,
C.Warren,RCB,Z(FL),4 Curl (9-12),Bump and Run,"43 Under, Nickel Personnel, Press-1",0,0,0,,,
T.Stevens,WLB,T,1 Out (5-8),Short Zone,"43 Under, Regular Personnel, Press-2",1,13,7,,,
K.Lofton,NB,R,5 Deep Out (13-18),Bump and Run,"43 Under, Nickel Personnel, Press-1",0,0,0,,,
M.Bell,SS,S,W Wheel (9-18),Deep Zone,"43 Under, Dime Personnel, Tampa-2",1,13,0,,,
R.Fleming,MLB,R,3 Comeback (9-12),Short Zone,"43 Under, Nickel Personnel, Cover-4",0,0,0,,,
M.Bell,SS,Y,0 Dig (0-4),Bump and Run,"43 Under, Nickel Personnel, Press-1",0,0,0,,,
,,Z(FL),5 Deep Out (13-18),,"43 Under, Nickel Personnel, Press-1",1,16,0,,,
K.Lofton,NB,R,3 Comeback (9-12),Bump and Run,"43 Under, Nickel Personnel, Press-1",1,11,0,,,
K.Lofton,NB,R,8 Post (19-26),Bump and Run,"43 Under, Nickel Personnel, Press-1",0,0,0,FS,C.Graham,Deep Zone
C.Warren,RCB,Z(FL),9 Fade (27-39),Bump and Run,"43 Under, Nickel Personnel, Press-1",0,0,0,,,
