Defender Name,Defender Position,Defense Coverage,Formation/Coverage,Blitz,Pass Rush Success
M.Jefferson,LDE,Rush Passer,"43 Under, Nickel Personnel, Press-1",0,0
A.Rubble,1tcDT,Rush Passer,"43 Under, Nickel Personnel, Press-1",0,0
W.Horn,3tcDT,Rush Passer,"43 Under, Nickel Personnel, Press-1",0,0
N.Tilton,RDE,Rush Passer,"43 Under, Nickel Personnel, Press-1",0,0
J.Wilcox,LCB,Blitz Passer,"43 Under, Nickel Personnel, Press-1",1,0
M.Jefferson,LDE,Rush Passer,"43 Under, Nickel Personnel, Press-1",0,0
A.Rubble,1tcDT,Rush Passer,"43 Under, Nickel Personnel, Press-1",0,0
W.Horn,3tcDT,Rush Passer,"43 Under, Nickel Personnel, Press-1",0,0
N.Tilton,RDE,Rush Passer,"43 Under, Nickel Personnel, Press-1",0,0
C.Kaiafas,MLB,Blitz Passer,"43 Under, Nickel Personnel, Press-1",1,0
N.Tilton,LDE,Rush Passer,"43 Under, Regular Personnel, Press-1",0,0
A.Rubble,1tcDT,Rush Passer,"43 Under, Regular Personnel, Press-1",0,0
W.Horn,3tcDT,Rush Passer,"43 Under, Regular Personnel, Press-1",0,0
R.Scott,RDE,Rush Passer,"43 Under, Regular Personnel, Press-1",0,0
C.Kaiafas,MLB,Blitz Passer,"43 Under, Regular Personnel, Press-1",1,0
N.Tilton,LDE,Rush Passer,"43 Under, Regular Personnel, Cover-3 Sky",0,0
A.Rubble,1tcDT,Rush Passer,"43 Under, Regular Personnel, Cover-3 Sky",0,0
W.Horn,3tcDT,Rush Passer,"43 Under, Regular Personnel, Cover-3 Sky",0,0
R.Scott,RDE,Rush Passer,"43 Under, Regular Personnel, Cover-3 Sky",0,0
M.Jefferson,LDE,Rush Passer,"43 Under, Nickel Personnel, Press-2",0,0
A.Rubble,1tcDT,Rush Passer,"43 Under, Nickel Personnel, Press-2",0,0
W.Horn,3tcDT,Rush Passer,"43 Under, Nickel Personnel, Press-2",0,0
N.Tilton,RDE,Rush Passer,"43 Under, Nickel Personnel, Press-2",0,0
C.Kaiafas,MLB,Blitz Passer,"43 Under, Nickel Personnel, Press-2",1,0
J.Joyner,LDE,Rush Passer,"43 Under, Dime Personnel, Tampa-2",0,0
A.Rubble,1tcDT,Rush Passer,"43 Under, Dime Personnel, Tampa-2",0,0
N.Ogden,3tcDT,Rush Passer,"43 Under, Dime Personnel, Tampa-2",0,0
