Player Name,Position,Route Prioity,Route,Targeted?,Caught?,Yards,YAC,Passer
S.Greene,X(SE),Outlet,4 Curl (9-12),0,0,0,0,Saenz
E.Styles,TE,Primary,2 Slant (5-8),1,1,3,0,Saenz
E.Stewart,Z(FL),Outlet,S Screen (S),0,0,0,0,Saenz
B.Riley,RB,Secondary,F Flat (0-4),0,0,0,0,Saenz
D.Cobb,TE,Outlet,2 Slant (5-8),0,0,0,0,Saenz
S.Greene,X(SE),Primary,3 Comeback (9-12),1,1,8,0,Saenz
E.Styles,TE,Outlet,1 Out (5-8),0,0,0,0,Saenz
E.Stewart,Z(FL),Secondary,1 Out (5-8),0,0,0,0,Saenz
A.Parmely,SLOT,Outlet,0 Dig (0-4),0,0,0,0,Saenz
S.Greene,X(SE),Outlet,F Flat (0-4),0,0,0,0,Saenz
E.Styles,TE,Outlet,4 Curl (9-12),0,0,0,0,Saenz
E.Stewart,Z(FL),Outlet,5 Deep Out (13-18),0,0,0,0,Saenz
B.Riley,RB,Secondary,2 Slant (5-8),0,0,0,0,Saenz
D.Cobb,TE,Primary,1 Out (5-8),1,0,0,0,Saenz
S.Greene,X(SE),Primary,5 Deep Out (13-18),0,0,0,0,Saenz
E.Styles,TE,Secondary,4 Curl (9-12),1,0,0,0,Saenz
E.Stewart,Z(FL),Outlet,6 Deep In (13-18),0,0,0,0,Saenz
T.Angulo,RB,Outlet,W Wheel (9-18),0,0,0,0,Saenz
A.Parmely,SLOT,Outlet,W Wheel (9-18),0,0,0,0,Saenz
D.Cobb,TE,Primary,2 Slant (5-8),0,0,0,0,Saenz
E.Styles,TE,Outlet,4 Curl (9-12),0,0,0,0,Saenz
A.Parmely,Z(FL),Secondary,5 Deep Out (13-18),1,1,21,4,Saenz
T.Angulo,RB,Outlet,0 Dig (0-4),0,0,0,0,Saenz
K.Diaz,TE,Outlet,6 Deep In (13-18),0,0,0,0,Saenz
S.Greene,X(SE),Primary,5 Deep Out (13-18),1,0,0,0,Saenz
E.Styles,TE,Secondary,4 Curl (9-12),0,0,0,0,Saenz
J.Isaacs,Z(FL),Outlet,6 Deep In (13-18),0,0,0,0,Saenz
C.Wynn,RB,Outlet,W Wheel (9-18),0,0,0,0,Saenz
A.Parmely,SLOT,Outlet,W Wheel (9-18),0,0,0,0,Saenz
S.Greene,X(SE),Primary,2 Slant (5-8),1,1,9,0,Saenz
J.Isaacs,Z(FL),Outlet,1 Out (5-8),0,0,0,0,Saenz
T.Angulo,RB,Secondary,2 Slant (5-8),0,0,0,0,Saenz
A.Parmely,SLOT,Outlet,3 Comeback (9-12),0,0,0,0,Saenz
D.Cobb,TE,Primary,2 Slant (5-8),1,0,0,0,Saenz
E.Styles,TE,Outlet,4 Curl (9-12),0,0,0,0,Saenz
A.Parmely,Z(FL),Secondary,5 Deep Out (13-18),0,0,0,0,Saenz
C.Wynn,RB,Outlet,0 Dig (0-4),0,0,0,0,Saenz
K.Diaz,TE,Outlet,6 Deep In (13-18),0,0,0,0,Saenz
S.Greene,X(SE),Outlet,1 Out (5-8),0,0,0,0,Saenz
E.Styles,TE,Outlet,S Screen (S),0,0,0,0,Saenz
E.Stewart,Z(FL),Secondary,7 Corner (19-26),0,0,0,0,Saenz
T.Angulo,RB,Primary,0 Dig (0-4),1,1,26,26,Saenz
A.Parmely,SLOT,Outlet,5 Deep Out (13-18),0,0,0,0,Saenz
S.Greene,X(SE),Outlet,F Flat (0-4),0,0,0,0,Saenz
E.Styles,TE,Outlet,4 Curl (9-12),0,0,0,0,Saenz
E.Stewart,Z(FL),Outlet,5 Deep Out (13-18),0,0,0,0,Saenz
B.Riley,RB,Secondary,2 Slant (5-8),1,1,9,1,Saenz
D.Cobb,TE,Primary,1 Out (5-8),0,0,0,0,Saenz
S.Greene,X(SE),Outlet,4 Curl (9-12),0,0,0,0,Saenz
E.Styles,TE,Outlet,0 Dig (0-4),0,0,0,0,Saenz
E.Stewart,Z(FL),Primary,S Screen (S),0,0,0,0,Saenz
B.Riley,RB,Outlet,F Flat (0-4),0,0,0,0,Saenz
D.Cobb,TE,Secondary,1 Out (5-8),1,0,0,0,Saenz
S.Greene,X(SE),Outlet,4 Curl (9-12),0,0,0,0,Saenz
E.Styles,TE,Outlet,0 Dig (0-4),0,0,0,0,Saenz
E.Stewart,Z(FL),Primary,S Screen (S),1,1,2,3,Saenz
T.Angulo,RB,Outlet,F Flat (0-4),0,0,0,0,Saenz
D.Cobb,TE,Secondary,1 Out (5-8),0,0,0,0,Saenz
K.Diaz,TE,Primary,0 Dig (0-4),1,1,0,0,Saenz
E.Styles,TE,Outlet,8 Post (19-26),0,0,0,0,Saenz
S.Greene,Z(FL),Outlet,S Screen (S),0,0,0,0,Saenz
T.Angulo,RB,Secondary,F Flat (0-4),0,0,0,0,Saenz
S.Greene,X(SE),Outlet,4 Curl (9-12),0,0,0,0,Saenz
E.Styles,TE,Primary,2 Slant (5-8),1,1,6,0,Saenz
E.Stewart,Z(FL),Outlet,S Screen (S),0,0,0,0,Saenz
B.Riley,RB,Secondary,F Flat (0-4),0,0,0,0,Saenz
D.Cobb,TE,Outlet,2 Slant (5-8),0,0,0,0,Saenz
S.Greene,X(SE),Secondary,6 Deep In (13-18),0,0,0,0,Saenz
E.Styles,TE,Outlet,0 Dig (0-4),0,0,0,0,Saenz
E.Stewart,Z(FL),Outlet,W Wheel (9-18),0,0,0,0,Saenz
T.Angulo,RB,Primary,4 Curl (9-12),0,0,0,0,Saenz
A.Parmely,SLOT,Outlet,5 Deep Out (13-18),1,0,0,0,Saenz
K.Diaz,TE,Primary,0 Dig (0-4),1,1,3,1,Saenz
E.Styles,TE,Outlet,8 Post (19-26),0,0,0,0,Saenz
S.Greene,Z(FL),Outlet,S Screen (S),0,0,0,0,Saenz
B.Riley,RB,Secondary,F Flat (0-4),0,0,0,0,Saenz
S.Greene,X(SE),Outlet,5 Deep Out (13-18),0,0,0,0,Saenz
E.Stewart,SLOT,Secondary,D Deep Fade (40+),0,0,0,0,Saenz
A.Parmely,Z(FL),Primary,W Wheel (9-18),1,1,11,0,Saenz
C.Wynn,RB,Outlet,S Screen (S),0,0,0,0,Saenz
B.Riley,FB,Outlet,2 Slant (5-8),0,0,0,0,Saenz
S.Greene,X(SE),Outlet,0 Dig (0-4),0,0,0,0,Saenz
E.Styles,TE,Secondary,1 Out (5-8),0,0,0,0,Saenz
E.Stewart,Z(FL),Outlet,9 Fade (27-39),0,0,0,0,Saenz
T.Angulo,RB,Outlet,F Flat (0-4),0,0,0,0,Saenz
A.Parmely,SLOT,Primary,1 Out (5-8),1,0,0,0,Saenz
S.Greene,X(SE),Outlet,3 Comeback (9-12),0,0,0,0,Saenz
E.Styles,TE,Secondary,0 Dig (0-4),0,0,0,0,Saenz
E.Stewart,Z(FL),Outlet,9 Fade (27-39),0,0,0,0,Saenz
A.Parmely,SLOT,Primary,2 Slant (5-8),1,0,0,0,Saenz
S.Greene,X(SE),Outlet,0 Dig (0-4),0,0,0,0,Saenz
E.Styles,TE,Secondary,1 Out (5-8),0,0,0,0,Saenz
E.Stewart,Z(FL),Outlet,9 Fade (27-39),0,0,0,0,Saenz
T.Angulo,RB,Outlet,F Flat (0-4),0,0,0,0,Saenz
A.Parmely,SLOT,Primary,1 Out (5-8),1,1,9,2,Saenz
S.Greene,X(SE),Outlet,1 Out (5-8),0,0,0,0,Saenz
E.Styles,TE,Primary,7 Corner (19-26),1,1,22,3,Saenz
A.Parmely,Z(FL),Outlet,F Flat (0-4),0,0,0,0,Saenz
C.Wynn,RB,Outlet,F Flat (0-4),0,0,0,0,Saenz
B.Riley,FB,Secondary,F Flat (0-4),0,0,0,0,Saenz
S.Greene,X(SE),Primary,2 Slant (5-8),0,0,0,0,Saenz
E.Stewart,Z(FL),Secondary,0 Dig (0-4),1,1,1,0,Saenz
T.Angulo,RB,Outlet,S Screen (S),0,0,0,0,Saenz
A.Parmely,SLOT,Outlet,S Screen (S),0,0,0,0,Saenz
S.Greene,X(SE),Outlet,1 Out (5-8),0,0,0,0,Saenz
E.Styles,TE,Outlet,S Screen (S),0,0,0,0,Saenz
J.Isaacs,Z(FL),Secondary,7 Corner (19-26),1,0,0,0,Saenz
T.Angulo,RB,Primary,0 Dig (0-4),0,0,0,0,Saenz
A.Parmely,SLOT,Outlet,5 Deep Out (13-18),0,0,0,0,Saenz
S.Greene,X(SE),Secondary,6 Deep In (13-18),0,0,0,0,Saenz
E.Styles,TE,Outlet,3 Comeback (9-12),0,0,0,0,Saenz
E.Stewart,Z(FL),Primary,8 Post (19-26),1,1,20,1,Saenz
T.Angulo,RB,Outlet,0 Dig (0-4),0,0,0,0,Saenz
