Player_ID,Uniform_Number,Position,Experience,Position_Group,Team,Injury_Length,Health,Injury_Type,Loyalty,Play_for_Winner,Personality_Strength,Leadership,Intelligence,Red_Flag,Mentor,Volatility,Designation,Status,Year_Signed,Popularity,How_Acquired,Hall_Of_Fame_Points,Contract_Length,Salary_Year_1,Salary_Year_2,Salary_Year_3,Salary_Year_4,Salary_Year_5,Bonus_Year_1,Bonus_Year_2,Bonus_Year_3,Bonus_Year_4,Bonus_Year_5,Holdout,Special_Teams_Designation,Season_Statistics_-_S_Games_Played,S_Games_Started,S_Pass_Attempts,S_Pass_Completions,S_Passing_Yards,S_Long_Pass,S_Touchdown_Passes,S_Intercepted,S_Sacked,S_Sack_Yards,S_Rushes,S_Rushing_Yards,S_Long_Rush,S_Rushing_Touchdowns,S_Catches,S_Receiving_Yards,S_Long_Reception,S_Receiving_Touchdowns,S_Targets,S_Yards_after_Catch,S_Drops,S_Punt_Returns,S_Punt_Return_Yards,S_Punt_Returns_Touchdowns,S_Kick_Returns,S_Kick_Return_Yards,S_Kick_Return_Touchdowns,S_Fumbles,S_Fumbles_Recovered,S_Fumbles_Forced,S_Fumble_Return_Touchdowns,S_Key_Run_Blocks,S_Block_Opportunities,S_Sacks_Allowed,S_Tackles,S_Assists,S_Sacks_(x10),S_Interceptions,S_Interception_Return_Yards,S_Interception_Return_Touchdowns,S_Passes_Defensed,S_Passes_Blocked,S_Hurries,S_Caught_Against,S_Pass_Plays,S_Run_Plays,S_Field_Goals_Made,S_Field_Goals_Attempted,S_Long_Field_Goal,S_Points_After_Touchdown,S_PATs_Attempted,S_Punts,S_Punting_Yards,S_Long_Punt,S_Punts_Inside_20,S_Points_Scored,S_HoF_Points,S_Third_Down_-_Runs,S_3D_First_Downs_-_Runs,S_3D_Pass_Attempts,S_3D_Completions,S_3D_First_Downs_-_Passes,S_3D_Targets,S_3D_Catches,S_3D_First_Downs_-_Catches,S_First_Down_-_Runs,S_First_Down_Pass_Attempts,S_First_Down_Catches,S_40+_Field_Goals_Attempted,S_40+_Field_Goals_Made,S_50+_Field_Goals_Attempted,S_50+_Field_Goals_Made,S_Net_Punting_Yardage,S_Special_Teams_Tackles,S_Quarterback_Knocked_Down,S_Red_Zone_-_Runs,S_RZ_Rushing_Yards,S_RZ_Pass_Attempts,S_RZ_Completions,S_RZ_Passing_Yards,S_RZ_Targets,S_RZ_Catches,S_RZ_Receiving_Yards,S_Total_Touchdowns,S_Two-Point_Conversions,S_Pancake_Blocks,S_Quarterback_Knockdowns,S_Special_Teams_Plays,S_100-Yard_Rushing_Games,S_100-Yard_Receiving_Games,S_300-Yard_Passing_Games,S_10-Yard_Runs,S_20-Yard_Catches,S_20-Yard_Completions,S_Yards_from_Scrimmage,S_All-Purpose_Yards,Playoff_Statistics_-_P_Games_Played,P_Games_Started,P_Pass_Attempts,P_Pass_Completions,P_Passing_Yards,P_Long_Pass,P_Touchdown_Passes,P_Intercepted,P_Sacked,P_Sack_Yards,P_Rushes,P_Rushing_Yards,P_Long_Rush,P_Rushing_Touchdowns,P_Catches,P_Receiving_Yards,P_Long_Reception,P_Receiving_Touchdowns,P_Targets,P_Yards_after_Catch,P_Drops,P_Punt_Returns,P_Punt_Return_Yards,P_Punt_Returns_Touchdowns,P_Kick_Returns,P_Kick_Return_Yards,P_Kick_Return_Touchdowns,P_Fumbles,P_Fumbles_Recovered,P_FumbleP_Forced,P_Fumble_Return_Touchdowns,P_Key_Run_Blocks,P_Block_Opportunities,P_Sacks_Allowed,P_Tackles,P_Assists,P_Sacks_(x10),P_Interceptions,P_Interception_Return_Yards,P_Interception_Return_Touchdowns,P_Passes_Defensed,P_Passes_Blocked,P_Hurries,P_Caught_Against,P_Pass_Plays,P_Run_Plays,P_Field_Goals_Made,P_Field_Goals_Attempted,P_Long_Field_Goal,P_Points_After_Touchdown,P_PATs_Attempted,P_Punts,P_Punting_Yards,P_Long_Punt,P_Punts_Inside_20,P_Points_Scored,P_HoF_Points,P_Third_Down_-_Runs,P_3D_First_Downs_-_Runs,P_3D_Pass_Attempts,P_3D_Completions,P_3D_First_Downs_-_Passes,P_3D_Targets,P_3D_Catches,P_3D_First_Downs_-_Catches,P_First_Down_-_Runs,P_First_Down_Pass_Attempts,P_First_Down_Catches,P_40+_Field_Goals_Attempted,P_40+_Field_Goals_Made,P_50+_Field_Goals_Attempted,P_50+_Field_Goals_Made,P_Net_Punting_Yardage,P_Special_Teams_Tackles,P_Quarterback_Knocked_Down,P_Red_Zone_-_Runs,P_RZ_Rushing_Yards,P_RZ_Pass_Attempts,P_RZ_Completions,P_RZ_Passing_Yards,P_RZ_Targets,P_RZ_Catches,P_RZ_Receiving_Yards,P_Total_Touchdowns,P_Two-Point_Conversions,P_Pancake_Blocks,P_Quarterback_Knockdowns,P_Special_Teams_Plays,P_100-Yard_Rushing_Games,P_100-Yard_Receiving_Games,P_300-Yard_Passing_Games,P_10-Yard_Runs,P_20-Yard_Catches,P_20-Yard_Completions,P_Yards_from_Scrimmage,P_All-Purpose_Yards,Solecismic_Test,40-Yard_Dash,Bench_Press,Agility_Drill,Broad_Jump,Position_Drill,Pointer_to_Active_Free_Agent_Block,Pointer_to_Player_Information_Record
36,0,K,16,K,99,0,Good,0,1,35,64,5,96,0,0,13,Unsigned,Active Roster,0,39,None,1314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,506,13,816,108,0,-1,34
38,7,QB,16,QB,28,0,Good,0,84,44,90,75,52,0,0,86,Unrestricted Free Agent,Active Roster,2022,32,Free Agency,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,486,7,772,111,77,-1,35
44,2,QB,16,QB,1,0,Good,0,75,66,59,4,34,0,0,96,None,Active Roster,2008,53,None,2833,2,1500,1500,0,0,0,1651,990,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,490,14,793,105,59,-1,40
53,18,P,15,P,7,0,Good,0,57,51,83,17,37,0,0,43,None,Active Roster,2022,59,Free Agency,628,2,147,155,0,0,0,78,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,489,20,803,106,0,-1,47
55,53,C,15,C,27,0,Good,0,31,13,7,87,67,0,1,23,None,Active Roster,2023,49,Free Agency,1084,1,137,0,0,0,0,77,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,513,27,788,93,0,-1,49
59,9,QB,15,QB,21,0,Good,0,48,35,72,74,28,0,1,15,Unrestricted Free Agent,Active Roster,2021,49,Free Agency,471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,492,9,776,105,76,-1,53
60,7,K,15,K,24,0,Good,0,84,30,12,17,46,0,1,59,None,Active Roster,2022,38,Free Agency,516,2,156,180,0,0,0,136,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,501,14,780,109,0,-1,54
62,97,LDT,14,DT,6,0,Good,0,9,100,54,54,46,0,0,41,None,Active Roster,2010,14,None,1797,1,543,0,0,0,0,617,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,500,32,816,106,0,-1,56
68,5,K,14,K,18,0,Good,0,10,62,95,72,71,0,1,52,None,Active Roster,2020,33,None,988,1,375,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,513,18,733,117,0,-1,61
79,9,QB,14,QB,24,0,Good,0,48,13,21,56,48,0,1,42,Unrestricted Free Agent,Active Roster,2022,18,Free Agency,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,484,9,796,98,53,-1,72
